Hub State Indicator,Rowid Object,Prop Nm,Prop Area,Rjct Rsn Txt,Reject Record Status,MDM_PROP_ID,Src Geo Loc Typ,Geo Lat,Geo Long,Prim Ind,Conf Wght,Addr Line1,City Nm,County Id,State Prov Id,Postal Code,Country Id,Country Iso2,Country Iso3,Country Iso3 Id,Addr Status,Adr Mail Scr
1,4480179,Gz World Trade Center South Tower,,"Addr_Line_1 Not In Standard Format -- Source Property Name: 广州世界贸易中心南塔, Source Complete Address: 环市东路371号; 广州; 中国",Ready For Review,T4480179,,,,,,371 Huanshi East Road,Guangzhou,,Guangdong,510095,China,CN,CHN,156,INVALID,3
1,4480180,Dongfeng Art District Yard 10,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Dongfeng Art District Yard 10, Source Complete Address: Jiangtai Road; Beijing; China|Address_Line1 is null;Addr_Line_1 Not In Standard Format -- Source Property Name: 东风艺术区10号院, Source Complete Address: 北京; 中国",Ready For Review,T4480180,,,,,,Jiangtai Road,Beijing,,Beijing,100020,China,CN,CHN,156,INVALID,2
1,4480181,Fortune Capital International Center Tower a,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Fortune Capital International Center Tower a, Source Complete Address: Fengshenghutong 22; Beijing; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 丰铭国际大厦A座, Source Complete Address: 丰盛胡同 22号; 北京; 中国",Ready For Review,T4480181,,,,,,22 Fengshenghutong,Beijing,,Beijing,100032,China,CN,CHN,156,INVALID,3
1,4480182,East Pacific International Center Tower a,,"Addr_Line_1 Not In Standard Format -- Source Property Name: East Pacific International Center Tower a, Source Complete Address: 7888 Shennan Boulevard; Shenzhen; China",Ready For Review,T4480182,,,,,,7888 Shennan Boulevard,Shenzhen,,Guangdong,518000,China,CN,CHN,156,INVALID,2
1,4480183,Royal King Plaza,,"Address_Line1 is null;Addr_Line_1 Not In Standard Format -- Source Property Name: 融金时代广场, Source Complete Address: 北京; 中国",Ready For Review,T4480183,,,,,,2 North 4th Ring Road,Beijing,,Beijing,100089,China,CN,CHN,156,INVALID,2
1,4480184,oriental Plaza East Tower Phase 2,,"Addr_Line_1 Not In Standard Format -- Source Property Name: oriental Plaza East Tower Phase 2, Source Complete Address: 1 East Chang'an Avenue; Beijing; China",Ready For Review,T4480184,,,,,,Avenue,Beijing,,Beijing,100010,China,CN,CHN,156,VALID,4
1,4480185,Electrical Research Insitute Building 10,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Electrical Research Insitute Building 10, Source Complete Address: Gongtibeilu; Beijing; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 机电研究所院内10号楼, Source Complete Address: 工体北路; 北京; 中国",Ready For Review,T4480185,,,,,,Gongti North Road,Beijing,,Beijing,100004,China,CN,CHN,156,INVALID,3
1,4480186,Shangdi Building,,"Address_Line1 is null;Addr_Line_1 Not In Standard Format -- Source Property Name: , Source Complete Address: 北京; 中国",Ready For Review,T4480186,,,,,,30 Shangdi Road,Beijing,,Beijing,100089,China,CN,CHN,156,INVALID,2
1,4480187,Binduyuan,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Binduyuan, Source Complete Address: 15 Zaoyingbeili; Beijing; China|Address_Line1 is null;Addr_Line_1 Not In Standard Format -- Source Property Name: , Source Complete Address: 北京; 中国",Ready For Review,T4480187,,,,,,15 Zaoyingbeili,Beijing,,Beijing,100020,China,CN,CHN,156,INVALID,2
1,4480188,Evergrande International Center,,"Addr_Line_1 Not In Standard Format -- Source Property Name: 恒大中心, Source Complete Address: 黄埔大道西78号; 广州; 中国",Ready For Review,T4480188,,,,,,78 Huangpu Avenue XI,Guangzhou,,Guangdong,510000,China,CN,CHN,156,INVALID,2
1,4480189,China Overseas International Center Tower 2,,"Addr_Line_1 Not In Standard Format -- Source Property Name: China Overseas International Center Tower 2, Source Complete Address: Olympic Center South Area 4; Beijing; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 中海国际中心2座, Source Complete Address: 奥体南区4号地; 北京; 中国",Ready For Review,T4480189,,,,,,Olympic Centre,Beijing,,Beijing,100020,China,CN,CHN,156,VALID,4
1,4480190,Zhangjiang Medical Valley,,"Address_Line1 is null;Addr_Line_1 Not In Standard Format -- Source Property Name: , Source Complete Address: 上海; 中国",Ready For Review,T4480190,,,,,,Lane 889 Halei Road,Shanghai,,Shanghai,200120,China,CN,CHN,156,INVALID,2
1,4480191,Golder Plaza,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Golder Plaza, Source Complete Address: hua yuan east road; Beijing; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 高德大厦, Source Complete Address: 花园东路; 北京; 中国",Ready For Review,T4480191,,,,,,Hua Yuan East Road,Beijing,,Beijing,100089,China,CN,CHN,156,INVALID,2
1,4480192,Luoke Times Center,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Luoke Times Center, Source Complete Address: Yayuncun; Beijing; China|Address_Line1 is null;Addr_Line_1 Not In Standard Format -- Source Property Name: 洛克时代中心, Source Complete Address: 北京; 中国",Ready For Review,T4480192,,,,,,Yayuncun,Beijing,,Beijing,100020,China,CN,CHN,156,INVALID,2
1,4480193,6 Haidian Zhongjie,,"Addr_Line_1 Not In Standard Format -- Source Property Name: 6 Haidian Zhongjie, Source Complete Address: No. 6 Haidian Zhongjie; Beijing; China",Ready For Review,T4480193,,,,,,6 Haidian Zhongjie,Beijing,,Beijing,100089,China,CN,CHN,156,INVALID,2
1,4480194,Cofco Landmark Plaza,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Cofco Landmark Plaza, Source Complete Address: Andingmenwai Avenue 208; Beijing; China",Ready For Review,T4480194,,,,,,Andingmenwai Avenue 208,Beijing,,Beijing,100010,China,CN,CHN,156,INVALID,2
