url,city,district,bedroom,livingroom,kitchen,washroom,huxinjiegou,totalFloor,floorPosition,chaoxiang,zhuangxiuqingkuang,mianji,gongtanbili,Nianfen,diantishu,hushu,chanquannianxian,jiaoyiquanshu,fangwuyongtu,jianzhujiegou,fangwunianxian,chanquansuoshu,diyaxinxi,fangbenbeijian,jianzhuleixing,xqjj,xq_x_jj,unit_price
https://gz.ke.com/ershoufang/108400032405.html,Guangzhou,Fanyu,3,2,2,1,Flat,23,Low,S,Jing,120,0.15499999999999992,2004,2,10,70,SPF,PTZZ,GH,Greater2,FGY,YDY,YSC,TL,29641,29641,29167
https://gz.ke.com/ershoufang/108400032592.html,Guangzhou,Fanyu,4,2,1,3,Flat,28,Low,W,NA,93.67,0.2321981424148607,2006,2,4,70,SPF,PTZZ,GH,Greater5,FGY,Unknown,YSC,TL,33466,33466,29359
https://gz.ke.com/ershoufang/108400032597.html,Guangzhou,Fanyu,4,2,1,2,Flat,28,Low,W,Jing,90.78,0.20775501211720637,2006,2,4,70,SPF,PTZZ,GH,Greater2,FGY,YDY,YSC,TL,33466,33466,30294
https://gz.ke.com/ershoufang/108400032900.html,Guangzhou,Fanyu,4,2,1,1,Flat,5,High,S,Jing,108.9,0.07355371900826446,1998,1,1,70,SPF,PTZZ,GH,Greater5,FGY,WDY,YSC,TL,21672,21672,21672
https://gz.ke.com/ershoufang/108400033086.html,Guangzhou,Fanyu,4,2,1,1,Flat,7,High,S,Jian,92.24,0.08391153512575888,2005,1,4,70,SPF,PTZZ,GH,Greater2,GY,Unknown,YSC,TL,23577,25786,24935
https://gz.ke.com/ershoufang/108400033737.html,Guangzhou,Fanyu,4,2,1,2,Flat,18,Low,S,Jing,132,0.1433333333333333,NA,2,6,70,SPF,PTZZ,GH,Greater5,GY,YDY,YSC,TL,23811,26693,24243
https://gz.ke.com/ershoufang/108400034154.html,Guangzhou,Fanyu,3,2,1,2,Flat,9,Low,ES,Jing,123,0.10869918699186998,2001,1,4,70,SPF,PTZZ,GH,Greater5,GY,WDY,YSC,TL,40628,33165,41464
https://gz.ke.com/ershoufang/108400034245.html,Guangzhou,Fanyu,4,2,1,2,Multi,9,Low,EN,NA,120.3,0.15680208993322842,1999,1,8,70,SPF,PTZZ,GH,Greater5,FGY,Unknown,YSC,TL,30029,30998,29926
https://gz.ke.com/ershoufang/108400034368.html,Guangzhou,Fanyu,3,2,1,1,Flat,10,Low,N,NA,96,0.21510416666666676,2009,2,4,70,SPF,PTZZ,GH,Greater2,GY,Unknown,YSC,TL,20483,20483,2e4
https://gz.ke.com/ershoufang/108400034892.html,Guangzhou,Fanyu,3,2,1,2,Flat,15,Low,WS,Jing,120,0.19566666666666666,2010,1,4,70,SPF,PTZZ,GH,Greater2,FGY,YDY,YSC,TL,39679,36520,41667
